id,year,month,type_of_violence,dyad_new_id,dyad_name,where_prec,where_coordinates,latitude,longitude,best
123403,1989,1,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,42
124029,1989,1,1,411,GRP - CPP,1,Makilala town,6.9514,125.0992,8
125199,1989,1,1,411,GRP - CPP,1,Sultan Kudarat town,7.27,124.3106,4
122856,1989,2,1,411,GRP - CPP,4,Aurora province,16,121.75,4
123430,1989,2,1,411,GRP - CPP,2,Manila City,14.6042,120.9822,4
123871,1989,2,1,411,GRP - CPP,4,Surigao del Sur province,8.66667,126,8
123349,1989,2,1,411,GRP - CPP,5,Luzon island,16,121,20
121742,1989,2,1,411,GRP - CPP,4,Bohol province,9.833333,124.166667,2
122819,1989,2,1,411,GRP - CPP,4,Agusan del Sur province,8.5,125.833333,11
123283,1989,2,1,411,GRP - CPP,4,Lanao del Norte province,8,124,3
123423,1989,2,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,2
123743,1989,3,1,411,GRP - CPP,4,Samar province,11.8333,125,6
122796,1989,3,1,411,GRP - CPP,4,Abra province,17.583333,120.75,8
123644,1989,3,1,411,GRP - CPP,6,Philippines,13,122,4
123344,1989,3,1,411,GRP - CPP,3,Lupon municipality,7.081413,126.129886,17
123501,1989,3,1,411,GRP - CPP,4,Misamis Oriental province,8.75,125,3
121194,1989,3,1,411,GRP - CPP,4,Agusan del Sur province,8.5,125.833333,3
124539,1989,3,1,411,GRP - CPP,3,Lakewood municipality,7.894,123.1583,6
123205,1989,3,1,411,GRP - CPP,4,Ifugao province,16.8333,121.166667,0
122905,1989,3,1,411,GRP - CPP,5,Bataan peninsula,14.583333,120.466667,11
123206,1989,3,1,411,GRP - CPP,4,Ifugao province,16.8333,121.166667,17
123862,1989,4,1,411,GRP - CPP,4,Surigao del Norte province,9.6667,125.63333,4
123167,1989,4,1,411,GRP - CPP,3,Candoni municipality,9.716667,122.633333,6
123691,1989,4,1,411,GRP - CPP,3,Dipolog City municipality,8.4612,123.3528,0
123006,1989,4,1,411,GRP - CPP,4,Camarines Sur province,13.666667,123.333333,5
123125,1989,4,1,411,GRP - CPP,4,Davao del Sur province,6.333333,125.5,14
123219,1989,4,1,411,GRP - CPP,4,Isabela province,17,122,4
123088,1989,4,1,411,GRP - CPP,2,Burauen municipality,10.966667,124.85,7
124722,1989,4,1,411,GRP - CPP,1,Paombong town,14.8311,120.7892,11
123413,1989,4,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,2
123845,1989,5,1,411,GRP - CPP,4,Sorsogon province,12.833333,123.916667,5
123530,1989,5,1,411,GRP - CPP,5,Negros island,10,123,44
123817,1989,5,1,411,GRP - CPP,1,Leon town,10.78,122.39,12
123067,1989,5,1,411,GRP - CPP,2,Clark Air Base,15.1907,120.5355,1
123385,1989,5,1,411,GRP - CPP,3,Malabon municipality,14.6675,120.9481,2
123207,1989,5,1,411,GRP - CPP,4,Ilocos Norte province,18.166667,120.75,19
123405,1989,5,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
125391,1989,5,1,411,GRP - CPP,1,Taytay town,14.5692,121.1325,2
123402,1989,5,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
124925,1989,5,1,411,GRP - CPP,1,Pudtol town,18.2447,121.3706,19
123689,1989,5,1,411,GRP - CPP,4,Quezon province,14.095278,121.775278,1
123420,1989,6,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
123499,1989,6,1,411,GRP - CPP,4,Misamis Oriental province,8.75,125,3
123348,1989,6,1,411,GRP - CPP,5,Luzon island,16,121,4
122799,1989,6,1,411,GRP - CPP,4,Abra province,17.583333,120.75,2
125306,1989,6,1,411,GRP - CPP,1,Tabuk town,17.4189,121.4458,20
123089,1989,6,1,411,GRP - CPP,5,Cordillera mountains,17.358833,120.971746,45
123039,1989,6,1,411,GRP - CPP,1,Cainta suburb town,14.5786,121.1222,2
123127,1989,6,1,411,GRP - CPP,2,Binaton village,6.855833,125.328333,41
125522,1989,6,1,411,GRP - CPP,1,Valenzuela town,14.7,120.9667,2
123894,1989,7,1,411,GRP - CPP,1,Mabalacat town,15.21554,120.578018,9
123946,1989,7,1,411,GRP - CPP,4,Zamboanga del Norte province,8.052778,122.740556,15
125520,1989,7,1,411,GRP - CPP,1,Valenzuela town,14.7,120.9667,0
123412,1989,7,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,0
124773,1989,7,1,411,GRP - CPP,1,Pasay City town,14.5481,120.9969,3
123885,1989,8,1,411,GRP - CPP,3,Tago municipality,8.966667,126.15,19
123648,1989,8,1,411,GRP - CPP,6,Philippines,13,122,10
123401,1989,8,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
123404,1989,8,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,2
122866,1989,9,1,411,GRP - CPP,2,Bagao City town,10.5355,122.8357,7
124573,1989,9,1,411,GRP - CPP,3,Lopez municipality,13.8844,122.2642,13
124920,1989,9,1,411,GRP - CPP,1,Porac town,15.0722,120.5422,2
123641,1989,9,1,411,GRP - CPP,6,Philippines,13,122,21
123558,1989,9,1,411,GRP - CPP,4,Cotabato province,7.212123,124.881512,21
123063,1989,9,1,411,GRP - CPP,2,Clark Air Base,15.1907,120.5355,5
123863,1989,9,1,411,GRP - CPP,4,Surigao del Norte province,9.6667,125.63333,0
123003,1989,9,1,411,GRP - CPP,4,Camarines Norte province,14.166667,122.75,16
123470,1989,9,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,0
123408,1989,9,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
123410,1989,10,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
123411,1989,10,1,411,GRP - CPP,1,Manila City,14.6042,120.9822,1
122910,1989,10,1,411,GRP - CPP,4,Benguet province,16.5,120.666667,7
122825,1989,10,1,411,GRP - CPP,4,Agusan del Sur province,8.5,125.833333,3
123595,1989,10,1,411,GRP - CPP,4,Pangasinan province,15.91667,120.3333,6
